1,4
1,8
1,21
1,36
2,19
2,30
2,31
3,5
3,10
3,34
3,38
4,2
4,11
4,14
4,33
5,1
5,13
5,14
5,21
5,26
5,36
5,40
6,2
6,7
6,12
6,19
6,32
6,39
6,21
7,6
7,9
7,13
7,36
7,43
8,4
8,45
8,14
8,22
8,39
8,42
9,46
10,4
10,30
10,45
11,6
11,20
11,26
11,29
11,30
11,45
12,42
13,1
14,20
14,22
14,29
15,25
15,29
16,2
16,7
16,20
16,21
17,37
18,11
18,41
19,6
20,32
21,15
21,16
21,26
21,34
21,43
21,44
21,50
22,23
22,24
22,25
23,11
23,46
24,4
24,38
25,1
25,3
25,4
25,24
25,39
27,16
27,23
27,24
28,18
28,39
28,41
29,15
30,7
31,7
31,15
31,46
32,14
32,38
33,1
33,34
34,6
34,20
34,45
34,45
35,9
35,10
35,20
35,27
35,31
35,36
35,38
35,39
36,1
36,3
36,4
36,19
36,38
36,40
36,47
37,19
37,50
37,50
38,38
38,41
39,20
39,28
40,30
40,48
41,6
41,18
41,18
41,18
41,20
41,31
41,33
41,40
42,2
42,6
42,12
42,16
42,29
43,9
43,13
43,46
44,1
44,3
44,13
44,33
44,38
45,11
45,43
46,1
46,2
46,18
46,30
46,38
47,37
48,13
48,22
48,29
48,33
49,12
50,18
50,29
50,44
50,48
43,19
43,30
44,31
44,5
44,10
44,34
44,38
45,2
45,11
46,14
46,33
46,1
46,13
46,14
48,21
48,26
48,36
48,40
49,2
50,7
50,12
50,19
50,32
43,39
43,21
44,6
44,9
44,13
5,36
5,43
5,4
6,45
6,14
6,22
6,39
